[2026-08-20 22:21:54,350: INFO: main: This is a test log message.]
[2026-08-24 23:30:44,061: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-24 23:30:44,085: ERROR: main: Error occurred while initiating data ingestion: yaml file is empty.]
[2026-08-24 23:31:49,848: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-24 23:31:49,854: ERROR: main: Error occurred while initiating data ingestion: yaml file is empty.]
[2026-08-24 23:32:14,684: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-24 23:32:14,742: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-24 23:32:14,744: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-24 23:32:17,159: INFO: data_ingestion: File downloaded successfully: artifacts/data_ingestion/data.zip]
[2026-08-24 23:32:17,191: INFO: main: ----Data Ingestion Stage completed ----]
[2026-08-26 23:09:28,907: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-26 23:09:28,950: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:09:28,951: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:09:30,400: INFO: data_ingestion: File downloaded successfully: artifacts/data_ingestion/data.zip]
[2026-08-26 23:09:30,445: INFO: main: ----Data Ingestion Stage completed ----]
[2026-08-26 23:09:30,445: INFO: main: ----Data Validation Stage started ----]
[2026-08-26 23:09:30,456: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:09:30,458: INFO: common: Directory created: artifacts/data_validation]
[2026-08-26 23:09:30,459: ERROR: main: Error occurred while initiating data validation: "'ConfigBox' object has no attribute 'unzip_data_dir'"]
[2026-08-26 23:12:04,873: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-26 23:12:04,876: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:12:04,876: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:12:04,877: INFO: data_ingestion: File already exists: artifacts/data_ingestion/data.zip]
[2026-08-26 23:12:04,879: INFO: main: ----Data Ingestion Stage completed ----]
[2026-08-26 23:12:04,879: INFO: main: ----Data Validation Stage started ----]
[2026-08-26 23:12:04,885: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:12:04,886: INFO: common: Directory created: artifacts/data_validation]
[2026-08-26 23:12:04,887: ERROR: main: Error occurred while initiating data validation: "'ConfigBox' object has no attribute 'all_schema'"]
[2026-08-26 23:15:27,047: INFO: main: ----Data Ingestion Stage started ----]
[2026-08-26 23:15:27,052: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:15:27,052: INFO: common: Directory created: artifacts/data_ingestion]
[2026-08-26 23:15:27,053: INFO: data_ingestion: File already exists: artifacts/data_ingestion/data.zip]
[2026-08-26 23:15:27,056: INFO: main: ----Data Ingestion Stage completed ----]
[2026-08-26 23:15:27,056: INFO: main: ----Data Validation Stage started ----]
[2026-08-26 23:15:27,059: INFO: common: Directory created: artifacts/data_ingestion]
